"","emp_nonemp","bin_BL_gender","bin_BL_marital2","bin_BL_education","age_group","BL_F6","Labour_market_A4","FU_B1_imputed","BL_Difference_G","BL_B6_13","FU_A10_imputed","FU_A14_imputed","BL_A4_groupped","bin_FU_A1"
"426",1,0,0,0,1,0,2,7,2,1,1,1,5,0
"427",1,1,0,1,2,0,5,8,1,1,1,2,5,0
"428",1,0,0,1,3,0,5,9,1,1,1,3,5,0
"429",1,0,0,1,4,0,5,7,2,1,2,2,5,0
"430",1,0,0,1,3,0,5,5,2,1,1,3,5,0
"431",1,0,0,1,2,0,5,6,1,1,1,1,5,0
"432",1,0,0,0,1,0,5,6,2,1,1,2,1,0
"433",1,0,0,0,2,0,5,5,1,1,1,1,NA,0
"434",1,0,1,1,1,0,5,10,1,1,2,2,NA,0
"435",1,0,0,1,1,0,5,4,2,1,1,3,5,0
"436",1,0,0,1,2,0,5,6,2,1,1,2,5,0
"437",1,1,1,1,2,0,2,5,2,1,2,3,5,0
"438",1,0,1,1,1,0,5,7,1,1,1,2,5,0
"439",1,1,1,1,3,0,5,7,1,1,1,1,NA,0
"440",2,0,0,1,4,0,5,8,2,1,1,2,5,0
"441",2,0,0,1,3,0,5,8,2,1,2,2,1,0
"442",2,0,0,0,1,0,5,7,2,1,1,1,1,0
"443",2,1,1,1,2,0,5,8,1,1,2,2,5,0
"444",2,0,0,1,3,0,5,6,2,1,1,2,5,0
"445",2,1,1,1,3,0,5,7,2,1,1,2,5,0
"446",2,0,1,1,3,0,5,8,1,1,1,2,5,0
"447",2,0,1,0,1,0,5,4,2,1,2,3,1,0
"448",2,1,1,1,3,0,5,7,2,1,1,3,5,0
"449",2,0,1,0,1,0,5,8,2,1,1,1,1,0
"450",2,0,1,1,3,0,5,8,1,1,1,1,1,0
"451",2,0,0,0,2,0,5,6,2,1,1,3,1,0
"452",2,0,1,1,4,0,5,4,2,1,2,4,1,0
"453",2,1,1,1,1,0,5,5,1,2,2,3,6,0
"454",2,1,1,1,3,0,5,5,2,2,1,3,5,0
"455",2,0,1,0,1,0,2,6,2,2,1,2,6,0
"456",2,1,1,0,1,0,2,3,1,2,1,2,6,0
"457",1,1,0,1,3,0,5,9,2,1,1,2,1,0
"458",1,1,1,1,3,0,5,6,2,1,1,2,1,0
"459",1,1,1,1,3,0,5,5,1,1,1,3,NA,0
"460",1,1,0,0,3,0,5,10,2,1,1,2,1,0
"461",2,1,1,1,4,0,2,4,1,1,1,3,6,0
"462",2,1,1,1,4,0,2,4,1,1,1,3,4,0
"463",2,1,1,0,3,0,2,7,1,1,1,2,5,0
"464",2,0,0,1,3,0,5,8,2,1,1,3,1,0
"465",2,0,1,1,2,0,5,8,1,1,2,4,8,0
"466",2,0,1,0,4,0,2,7,1,1,1,2,7,0
"467",2,0,1,0,3,0,4,8,1,1,1,2,5,0
"468",2,0,1,0,2,0,2,5,1,1,2,2,5,0
"469",2,0,0,1,2,0,5,4,1,1,1,2,5,0
"470",2,0,0,0,1,0,5,5,1,1,1,1,5,0
"471",2,0,1,1,3,0,4,10,1,1,1,2,1,0
"472",2,1,1,1,2,0,2,7,1,1,2,2,6,0
"473",2,1,0,0,2,0,4,7,1,1,1,1,1,0
"474",2,1,1,1,4,0,1,5,1,1,1,2,5,0
"475",2,0,0,0,1,0,5,5,2,1,1,3,5,0
"476",2,1,1,0,3,0,2,7,1,2,1,3,6,0
"477",2,1,1,0,3,0,2,8,1,2,1,3,6,0
"478",2,1,1,0,3,0,5,5,1,2,1,2,5,0
"479",2,1,0,0,2,0,5,5,1,2,2,4,5,0
"480",2,1,1,1,2,0,5,3,1,2,1,3,6,0
"481",2,1,1,0,1,0,2,7,1,2,1,1,6,0
"482",2,1,1,0,1,0,2,6,1,2,2,2,6,0
"483",2,1,0,0,1,0,2,7,1,2,1,2,8,0
"484",2,1,1,0,1,0,2,8,1,2,1,2,8,0
"485",2,1,0,0,1,0,4,6,1,2,1,2,5,0
"486",2,1,1,0,4,0,2,6,1,2,1,1,6,0
"487",2,1,0,0,1,0,2,6,1,2,1,1,6,0
"488",2,1,1,0,3,0,4,5,1,2,1,2,6,0
"489",2,1,0,0,1,0,2,9,1,2,1,2,5,0
"490",2,1,1,0,1,0,2,7,1,2,1,3,5,0
"491",2,1,1,0,4,0,2,6,1,2,1,1,6,0
"492",2,1,0,1,2,0,5,6,1,2,1,1,8,0
"493",2,0,0,1,1,NA,5,7,2,1,1,2,1,0
"494",2,0,0,1,2,NA,1,5,1,1,1,2,1,0
