"","emp_nonemp","bin_BL_gender","bin_BL_marital2","bin_BL_education","age_group","BL_F6","Labour_market_A4","FU_B1_imputed","BL_Difference_G","BL_B6_13","FU_A10_imputed","FU_A14_imputed","BL_A4_groupped","bin_FU_A1"
"99",2,0,0,0,1,0,1,7,2,2,1,2,8,1
"100",1,1,1,0,3,0,2,6,2,2,1,4,6,1
"101",1,0,1,0,4,0,5,6,1,1,1,3,1,1
"102",2,0,0,1,1,0,1,6,2,1,2,4,5,1
"103",2,0,1,1,2,0,1,6,2,1,1,3,1,1
"104",1,1,1,0,1,0,1,6,1,1,1,3,NA,1
"105",1,0,1,0,3,0,1,6,1,1,1,3,1,1
"106",2,1,1,1,2,NA,1,6,1,1,1,3,5,1
"107",2,0,1,0,1,NA,1,6,1,1,2,2,1,1
"108",1,1,0,0,4,1,1,6,2,1,1,2,5,1
"109",1,1,0,0,1,1,1,6,1,2,1,2,5,1
"110",1,0,1,0,4,1,1,6,1,1,1,2,10,1
"111",1,0,0,1,2,1,1,6,2,1,1,2,5,1
"112",1,0,0,0,1,1,1,6,2,1,1,2,1,1
"113",1,1,0,1,2,1,1,6,2,1,1,2,1,1
"114",1,0,0,1,3,1,1,6,1,1,1,2,10,1
"115",1,0,1,0,3,1,1,6,1,1,1,2,10,1
"116",2,0,0,0,1,1,1,6,2,1,2,2,1,1
"117",1,1,1,0,4,0,1,6,1,1,2,2,NA,1
"118",2,0,0,1,3,0,1,6,2,1,2,2,5,1
"119",2,1,1,1,3,0,1,6,2,1,2,2,5,1
"120",2,0,1,0,3,0,1,6,2,1,1,2,1,1
"121",2,0,1,0,3,0,1,6,1,1,1,2,1,1
"122",2,0,0,0,1,0,1,6,1,2,1,2,5,1
"123",1,0,0,0,3,0,1,6,1,1,1,2,1,1
"124",1,0,0,0,3,0,1,6,1,1,1,2,5,1
"125",2,0,1,1,3,0,1,6,1,1,1,2,9,1
"126",2,0,0,1,3,1,5,6,1,1,2,3,NA,1
"127",1,0,1,0,2,1,1,6,2,2,1,3,5,1
"128",2,0,1,0,3,1,1,6,1,1,1,2,1,1
"129",2,1,1,0,3,0,1,6,1,1,2,2,5,1
"130",2,0,1,1,3,0,1,6,1,1,1,2,1,1
"131",2,1,0,1,1,0,5,6,2,1,1,4,1,1
"132",2,1,1,0,3,0,5,6,2,1,2,3,1,1
"133",2,1,0,0,1,0,5,6,1,2,2,1,4,1
"134",2,0,0,1,1,1,1,6,2,1,2,4,5,1
"135",1,0,1,1,2,1,1,6,2,1,1,3,10,1
"136",1,1,1,1,3,0,1,6,1,1,2,3,NA,1
"137",1,0,0,1,3,0,1,6,2,1,2,3,1,1
"138",1,0,0,0,3,1,1,6,2,1,1,2,1,1
"139",1,0,0,0,1,1,1,6,1,1,1,2,10,1
"140",1,0,1,0,1,1,1,6,1,1,1,2,10,1
"141",2,1,1,1,1,0,1,6,1,1,1,2,NA,1
"142",2,0,0,1,3,0,1,6,1,1,1,2,5,1
"143",2,0,0,1,1,0,1,6,2,1,1,2,1,1
"144",2,0,0,0,1,0,1,6,2,2,1,2,7,1
"145",1,0,0,0,1,0,1,6,2,1,1,1,1,1
"146",2,0,0,1,2,0,1,6,2,1,2,1,5,1
"147",1,1,0,0,3,0,5,5,1,2,1,3,6,1
"148",2,1,1,0,4,0,5,5,1,1,2,3,6,1
"149",1,0,0,0,1,0,5,5,2,1,1,2,5,1
"150",1,0,0,1,1,0,1,5,1,1,2,3,5,1
"151",2,0,0,1,1,0,1,5,2,1,1,3,1,1
"152",2,1,0,1,2,0,1,5,1,1,2,3,6,1
"153",2,0,1,1,4,0,1,5,1,1,1,3,1,1
"154",1,1,0,0,1,1,1,5,1,2,1,2,5,1
"155",1,0,1,0,3,1,1,5,2,1,1,2,10,1
"156",1,0,0,0,1,0,1,5,2,1,2,2,1,1
"157",2,0,1,1,3,0,1,5,1,1,1,2,8,1
"158",1,0,0,1,2,0,5,5,2,1,1,2,5,1
"159",2,0,1,1,3,0,1,5,1,1,2,4,1,1
"160",2,0,1,0,4,0,1,5,1,1,1,3,5,1
"161",2,0,0,0,2,0,5,5,3,1,1,3,NA,1
"162",1,0,1,0,4,0,2,5,1,1,1,3,NA,1
"163",1,0,1,0,1,0,5,5,2,2,1,3,5,1
"164",2,0,0,1,2,0,5,5,2,1,1,3,1,1
"165",1,0,0,1,2,0,5,5,2,1,1,2,5,1
"166",1,0,0,1,1,0,1,5,2,1,1,4,NA,1
"167",1,0,0,0,1,0,1,5,2,1,1,4,5,1
"168",1,0,1,1,2,1,1,5,2,1,2,3,5,1
"169",1,0,0,0,4,0,1,5,2,1,1,3,NA,1
"170",2,0,0,1,2,0,1,5,2,1,2,3,5,1
"171",1,0,1,0,1,1,1,5,2,1,2,2,1,1
"172",2,0,1,0,3,1,1,5,1,1,2,2,1,1
"173",1,0,1,1,3,0,1,5,2,1,1,2,1,1
"174",1,0,1,0,3,0,1,5,1,1,1,2,1,1
"175",2,1,1,1,3,0,1,5,2,1,1,2,5,1
"176",2,0,0,0,3,0,1,5,2,1,1,1,1,1
"177",1,0,0,0,1,1,5,4,2,1,1,4,10,1
"178",1,0,0,0,3,0,5,4,2,1,1,3,NA,1
"179",2,0,1,0,4,0,5,4,2,1,1,3,5,1
"180",2,0,0,0,1,0,1,4,2,1,2,4,5,1
"181",2,0,1,1,4,0,1,4,2,1,2,3,5,1
"182",2,0,0,0,3,0,1,4,2,1,2,2,5,1
"183",2,0,1,1,4,0,1,4,2,1,1,2,12,1
"184",1,0,0,1,1,0,4,4,2,1,2,3,1,1
"185",1,0,0,1,1,1,1,4,1,1,1,4,NA,1
"186",1,0,1,1,3,1,1,4,2,1,2,3,10,1
"187",1,0,0,1,3,0,1,4,3,1,1,3,1,1
"188",2,0,1,0,3,0,1,4,2,1,2,3,1,1
"189",2,0,1,1,2,0,1,4,1,1,2,3,5,1
"190",2,0,0,0,1,0,1,4,2,1,2,2,1,1
"191",1,1,1,0,3,0,1,4,1,1,1,1,5,1
"192",1,0,1,0,3,0,5,3,1,1,1,3,NA,1
"193",1,0,0,1,2,0,1,3,2,1,1,3,5,1
"194",2,0,1,0,3,0,1,3,2,1,2,5,5,1
"195",2,0,0,1,2,0,5,2,1,2,2,5,5,1
"196",2,1,0,0,3,0,2,2,1,2,1,4,6,1
"197",1,0,1,1,2,0,1,2,2,1,1,2,5,1
"198",1,0,0,0,1,0,2,2,1,1,1,2,5,1
"199",2,0,0,0,1,0,1,2,1,1,1,2,5,1
"200",1,1,1,0,3,0,2,1,1,2,1,3,6,1
"201",2,0,1,1,3,0,5,0,2,1,2,2,1,1
"202",2,0,0,0,2,0,5,0,1,1,1,1,1,1
"203",2,1,0,1,3,NA,5,6,1,1,1,2,0,0
"204",2,0,0,1,1,NA,5,6,2,1,1,2,5,0
"205",1,0,1,0,3,1,5,6,2,1,1,4,5,0
"206",2,0,1,1,4,1,5,8,1,1,1,2,5,0
"207",2,0,1,1,3,1,5,6,1,1,1,2,5,0
"208",2,0,1,0,4,1,4,8,1,1,1,2,5,0
"209",2,0,0,0,4,1,2,10,1,1,1,1,6,0
"210",2,1,0,1,1,1,2,9,1,1,1,2,5,0
"211",2,0,1,1,3,1,4,5,2,1,1,1,5,0
"212",2,0,1,1,4,1,4,9,2,1,1,3,1,0
"213",2,1,1,1,3,1,4,8,2,1,1,1,1,0
